added_by,artist,award,banner,description,downloads,host,listens,official,rating_count,rating_score,release_date,title,tracks,views
Slaughterhouse,Slaughterhouse,Gold,exclusive,"After hinting for a few weeks, Slaughterhouse finally releases their new anticipated mixtape ""House Rules."" The 10 track mixtape is the groups second mixtape collectively and the follow up to the successful ""On The House"" project.  Follow on twitter @JoeBudden @RoyceDa59 @CrookedIntriago @JoellOrtiz",249833,,215393,1,669,96,05/21/2014,House Rules,10,859504
OfficialFab,Fabolous,Gold,sponsored,,240922,DJ Drama,478387,1,741,96,02/15/2008,There Is No Competition,25,1171045
IAmMixtapes,Joey Bada$$,Gold,sponsored,"1999 rejex"" is a compilation of tracks that didn't make it to my debut mixtape ""1999"" (obviously). I decided to put this project together because I have a lot of unreleased material that I didn't want to keep from the ears of my fans and supporters. I also have a couple of tracks on here I did when I was 15 years old (""little rachel"", ""indubitable"", and ""silent knight"") and I want to show people the progress I've made in a couple of years. The remaining songs (""flowers pt. I"", ""catharsis"", ""panty raid"", ""fantum"" and ""update"") are tracks I dropped prior to the release of '99 as promo only. I look at ""rejex"" as my more experimental side compared to '99. Putting together these two projects even taught me a lil sumchin about my evolution as an artist and individual. Watch me go from ""Joey B4 DA $$"" to the ""Joey BA DA $$""...... If you know what eye mean.. Haha

-oG $wank",241280,Pro Era,129259,1,526,97,09/06/2012,Rejex,14,692535
MrFeatured,B.o.B,Gold,sponsored,"New mixtape from B.o.B a.k.a. Bobby Ray with features from T.I., Cyhi Da Prynce, Bun B, Donnis, and Young Dro. Follow on twitter: http://twitter.com/bobatl",241373,,207022,1,887,98,12/07/2010,No Genre,16,795523
IAmMixtapes,Casey Veggies,Gold,exclusive,"New mixtape from Casey Veggies ""Life Changes."" Features include Phil Beaurdreau, Dom Kennedy and BJ The Chicago Kid.  Follow on twitter @CaseyVeggies",241636,,212659,1,523,95,01/22/2013,Life Changes,13,843527
AloxNJ,YFN Lucci,Gold,sponsored,"New comer out of ATL, YFN Lucci drops off ""Wish Me Well""",242254,,874230,1,1245,92,02/26/2015,Wish Me Well,18,1509000
IAmMixtapes,Freddie Gibbs,Gold,exclusive,New mixtape from Freddie Gibbs #BFK (Baby Face Killa) Hosted by DJ Drama and powered by DatPiff.com,241917,DJ Drama,230004,1,801,97,09/25/2012,Baby Face Killa,18,814389
flybeats09,Lil Uzi Vert,Gold,exclusive,"Lil Uzi Vert drops his highly anticipated project ""Luv Is Rage""
Follow @LilUziVert",242288,,1111662,1,2041,93,10/30/2015,Luv Is Rage,16,2131616
itsjcole,J Cole,Gold,sponsored,J Cole hits us with another EP on 'Any Given Sunday',244155,,311894,1,995,91,08/08/2011,Any Given Sunday EP #2,3,1299607
flybeats09,Fabolous,Gold,sponsored,"The OFFICIAL compilation of all of Fab x Clues ""Friday Night Freestyles""",244210,DJ Clue,1135572,1,1538,93,05/23/2015,Friday Night Freestyles,15,1835018
AceHoodWTB,Ace Hood,Gold,sponsored,"Part 5 of ""Starvation"" is here! DownloAd and stream now on DatPiff!. Follow @AceHood",244559,,1002819,1,3256,94,07/11/2016,Starvation 5,18,1769202
Share,Lil Wayne,Gold,,,245513,The Empire,1113516,0,1090,96,10/20/2007,The Drought Is Over 4,19,1978444
IAmMixtapes,Pusha-T,Platinum,sponsored,"Just before he packages and delivers his debut solo album which he cites as a ""whole other monster,"" G.O.O.D. Music's Pusha T liberates his highly anticipated Fear of God mixtape.

The 13-track offering which sees P rapping over some original production and classic instrumentals features G.O.O.D. Music label boss Kanye West along with Re-Up Gang affiliate Ab-Liva (now Liva Don) along with Rick Ross, 50 Cent and R&B crooner Kevin Cossom. With production from Kanye West, The Neptunes, Hit-Boy, Tha Bizness, Nottz and The Inkredibles, we think this one may easily be a contender for mixtape of the year.",373837,Re-Up Gang,407847,1,1131,97,03/21/2011,Fear Of God,13,1210441
AloxNJ,Big K.R.I.T.,Platinum,sponsored,"New mixtape from Big KRIT ""4 Eva N A Day""",381485,Cinematic Music Group,361338,1,1487,98,03/05/2012,4eva N A Day,17,1262659
flybeats09,French Montana & Waka Flocka,Platinum,exclusive,New joint mixtape from Waka Flocka & French Montana hosted by DJ Drama & DJ Green Lantern. Follow @FrenchMontana @WakaFlockaBSM @DatPiffMixtapes,384223,DJ Green Lantern & DJ Drama,463795,1,894,92,12/13/2011,Lock Out,16,1531889
flybeats09,Curren$y,Platinum,sponsored,"New free album from Curren$y produced entirely by Alchemist. Follow on twitter:
www.twitter.com/CurrenSy_Spitta
www.twitter.com/AlanTheChemist",385624,,606918,1,1989,97,04/20/2011,Covert Coup,10,1498538
flybeats09,ASAP Ferg,Platinum,exclusive,"Long awaited debut solo mixtape from ASAP FERG 'Ferg Forever': Gangsta Grillz. The mixtape contains 19 records and is hosted by DJ Drama.  Features include Big Sean, SZA, YG, Twista, M.I.A., Crystal Caines, and more. Production comes from the likes of Big K.R.I.T., Clams Casino, Stelios, and Childish Major.",387269,DJ Drama,511687,1,1071,92,11/28/2014,Ferg Forever,19,1609572
chiefkeef,Chief Keef,Platinum,exclusive,"After being quiet for most of 2014, Chief Keef is back on the grind and ""Sorry 4 The Weight"" with this new 20 track mixtape.  With few features and mainly in house production, ""Sorry 4 The Weight"" is just a warm up to what Keef plans to release independently throughout 2015.",390095,Glo Gang,851600,1,1980,89,02/18/2015,Sorry 4 The Weight,20,2347522
SnowManJeezy,Young Jeezy,Platinum,exclusive,"Jeezy and Drama are back it with a surprise release of the second installment in the 'The Real Is Back"" series. TM 103 drops September 20th!",391657,DJ Drama,643477,1,1190,95,09/03/2011,The Real Is Back 2,11,1703670
MeekMillDC,Meek Mill,Platinum,sponsored,"Meek Mill decides to give us the ""4-4 EP"" before the release of DC4!",395539,,2178134,1,8035,75,01/16/2016,4-4 EP,4,3725060
JuicyJ,Juicy J,Platinum,exclusive,"Juicy J is back in a big way with this new 16 track offering of ""100% Juice."" The mixtape includes features from the usual suspects like Wiz Khalifa & Project Pat  along with Lil Herb, Future, Boosie, Lil Wayne, August Alsina & more. As for producers, it wouldn'e be a Juicy J tape without the likes of Sonny Digital, Metro Boomin, TM88, 808 Mafia & more.  Follow on twitter @therealJuicyJ @DatPiff.  #100PercentJuice",393668,Dj Scream,1502117,1,1911,94,09/09/2015,100% Juice,16,3115481
flybeats09,Gucci Mane & Young Thug,Platinum,exclusive,"In celebration of this Easter Sunday, 4/20....Gucci Mane and Young Thug unleash the long awaited mixtape ""Young Thugga Mane La Flare."" Hosted by DJ Holiday, this project boasts a collection of new collaborative records from the duo and also grabs an assist from PeeWee Longway on song 10, ""Took By A Bitch."" DOWNLOAD THE NO DJ version on iTunes NOW! -----> http://tinyurl.com/Youngthuggamanelaflare",396055,DJ Holiday,716317,1,1730,82,04/20/2014,Young Thugga Mane La Flare,13,2269272
IAmMixtapes,YG Feat. DJ Mustard,Platinum,exclusive,"New mixtape from YG & DJ Mustard ""4 Hunnid Degreez"" Hosted by DJ Drama & DJ Ill Will",398313,DJ Ill Will & DJ Drama,402198,1,674,92,03/26/2012,4 Hunnid Degreez ,22,1347705
flybeats09,Kodak Black,Platinum,exclusive,"Kodak Black presents his newest offering ""Institution""",398628,,1785534,1,3918,89,12/25/2015,Institution,24,3271906
flybeats09,Ludacris,Platinum,exclusive,"The highly new anticipated mixtape release from hip hop legend and DTP representative, Ludacris.  Featuring all new original music and features from Wiz Khalifa, Big KRIT, Waka Flocka & production from Drumma Boy, Big KRIT & more. Follow on twitter @Ludacris",301002,Disturbing Tha Peace,440663,1,1147,97,11/15/2011,1.21 Gigawatts: Back To The First Time,12,1014652
Official2Chainz,Tity Boi,Platinum,sponsored,New mixtape from Tity Boi hosted by DJ Teknikz & DJ Frank White,301716,DJ Teknikz & DJ Frank White,358474,1,619,92,02/22/2011,Codeine Cowboy (A 2 Chainz Collective),17,1260210
flybeats09,Lloyd Banks,Platinum,exclusive,"Part 2 of ""The Cold Corner"" series from the PLK Lloyd Banks. Follow on twitter: www.twitter.com/LloydBanks",304977,,677859,1,2145,97,11/07/2011,The Cold Corner 2,18,1561512
ItsMacMiller,Mac Miller,Platinum,sponsored,,308343,DJ Haze & DJ Capcom,274062,1,783,97,06/01/2009,The Jukebox: Prelude To Class Clown,21,1110953
flybeats09,Gucci Mane & Future,Platinum,sponsored,New Joint mixtape from Gucci Mane & Future  hosted by DJ Scream,309321,DJ Scream,484647,1,1024,92,07/29/2011,Free Bricks,13,1393070
